Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;7.20;7.26;7.16;7.26;"10/01/22 17:35";CET;64497;465188.29
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;16.95;17.00;16.85;16.85;"10/01/22 17:35";CET;1304;22045.55
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo B�rs";NOK;9.25;9.25;9.04;9.05;"10/01/22 16:29";CET;1075276;4298141.35
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;2.97;3.08;2.905;2.925;"10/01/22 17:35";CET;345635;1034039.67
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;27.75;27.80;25.15;25.25;"10/01/22 17:37";CET;24990;659858.40
"ABN AMRO BANK N.V.";NL0011540547;ABN;"Euronext Amsterdam";EUR;14.198;14.28;14.03;14.038;"10/01/22 17:36";CET;3001826;42411826.10
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;4.98;5.15;4.98;5.15;"10/01/22 15:49";CET;2796;14153.79
"ACACIA PHARMA";GB00BYWF9Y76;ACPH;"Euronext Brussels";EUR;1.562;1.638;1.512;1.602;"10/01/22 17:35";CET;287390;457946.24
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.51;0.51;0.50;0.51;"10/01/22 16:59";CET;3034;1543.94
"ACCELL GROUP";NL0009767532;ACCEL;"Euronext Amsterdam";EUR;47.20;47.25;45.05;45.45;"10/01/22 17:35";CET;65231;2982285.00
ACCENTIS;BE0003696102;ACCB;"Euronext Brussels";EUR;0.0655;0.066;0.064;0.064;"10/01/22 17:35";CET;126991;8308.23
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;30.75;31.38;30.63;30.76;"10/01/22 17:35";CET;741414;22931488.75
"ACCOR AC SHARES";FR0014003PZ3;AAC;"Euronext Paris";EUR;9.601;9.839;9.601;9.836;"03/01/22 13:10";CET;46;448.98
"ACCOR AC WARRANTS";FR0014003QK3;AACW;"Euronext Paris";EUR;0.40;0.40;0.40;0.40;"25/11/21 10:02";CET;4238;1695.20
ACCSYS;GB00BQQFX454;AXS;"Euronext Amsterdam";EUR;2.04;2.06;2.005;2.02;"10/01/22 17:35";CET;245627;496869.44
ACHETER-LOUER.FR;FR0010493510;ALALO;"Euronext Growth Paris";EUR;0.0012;0.0013;0.0011;0.0011;"10/01/22 17:05";CET;133632054;158359.62
"ACKERMANS V.HAAREN";BE0003764785;ACKB;"Euronext Brussels";EUR;173.80;175.60;173.20;175.20;"10/01/22 17:35";CET;43027;7517953.30
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1.965;1.965;1.925;1.96;"10/01/22 14:30";CET;898;1752.31
"ACTIA GROUP";FR0000076655;ATI;"Euronext Paris";EUR;3.55;3.63;3.51;3.53;"10/01/22 17:35";CET;3515;12503.91
"ACTICOR BIOTECH";FR0014005OJ5;ALACT;"Euronext Growth Paris";EUR;4.80;4.8995;4.7305;4.7305;"10/01/22 16:39";CET;686;3293.92
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;1.38;1.38;1.38;1.38;"10/01/22 11:30";CET;603;832.14
ACVLHO;BE0010012210;-;"Euronext Expert Market";EUR;4500.01;4500.01;4500.01;4500.01;"07/07/15 11:30";CET;3;13500.03
ADA;FR0000053076;ALADA;"Euronext Growth Paris";EUR;10.40;10.40;10.40;10.40;"10/01/22 17:28";CET;948;9859.20
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0.0975;0.0975;0.0975;0.0975;"07/01/22 11:30";CET;10000;975.00
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;3.11;3.12;2.99;3.06;"10/01/22 17:35";CET;9626;29324.38
ADEVINTA;NO0010844038;ADE;"Oslo B�rs";NOK;117.30;119.50;111.25;111.25;"10/01/22 16:25";CET;495296;56269999.75
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;7.90;7.90;7.79;7.85;"10/01/22 17:38";CET;6461;50507.27
ADOMOS;FR0013247244;ALADO;"Euronext Growth Paris";EUR;0.0978;0.1042;0.095;0.0971;"10/01/22 17:35";CET;895247;88728.29
ADP;FR0010340141;ADP;"Euronext Paris";EUR;121.15;125.50;121.00;122.65;"10/01/22 17:37";CET;98640;12147477.60
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;1.67;1.67;1.59;1.60;"10/01/22 16:28";CET;540599;865400.69
ADTHINK;FR0010457531;ALADM;"Euronext Growth Paris";EUR;1.40;1.525;1.36;1.45;"10/01/22 17:35";CET;104327;152092.04
ADUX;FR0012821890;ADUX;"Euronext Paris, Amsterdam";EUR;2.22;2.24;2.10;2.16;"10/01/22 16:41";CET;8954;19615.32
ADVENIS;FR0004152874;ALADV;"Euronext Growth Paris";EUR;2.95;2.95;2.80;2.80;"10/01/22 11:17";CET;670;1951.00
ADVICENNE;FR0013296746;ADVIC;"Euronext Paris, Brussels";EUR;9.08;9.09;8.62;8.79;"10/01/22 17:35";CET;52684;465401.60
ADVINI;FR0000053043;ADVI;"Euronext Paris";EUR;19.00;19.00;18.80;18.80;"10/01/22 15:43";CET;265;5023.00
ADYEN;NL0012969182;ADYEN;"Euronext Amsterdam";EUR;2170.00;2170.00;1959.00;1965.60;"10/01/22 17:39";CET;113885;229361624.20
AEDIFICA;BE0003851681;AED;"Euronext Brussels, Amsterdam";EUR;113.80;113.80;110.80;111.80;"10/01/22 17:35";CET;45108;5041114.20
AEGA;NO0010626559;AEGA;"Euronext Expand Oslo";NOK;1.556;1.60;1.556;1.60;"10/01/22 16:19";CET;90128;141348.29
AEGON;NL0000303709;AGN;"Euronext Amsterdam";EUR;4.85;4.886;4.805;4.869;"10/01/22 17:39";CET;12711472;61659554.75
"AERKOMM INC";US00774B2088;AKOM;"Euronext Paris";EUR;7.15;7.15;7.15;7.15;"10/01/22 09:00";CET;1;7.15
"AF GRUPPEN";NO0003078107;AFG;"Oslo B�rs";NOK;195.60;197.00;193.80;195.00;"10/01/22 16:25";CET;18969;3697746.40
"AFFLUENT MEDICAL";FR0013333077;AFME;"Euronext Paris";EUR;5.70;5.75;5.60;5.62;"10/01/22 15:33";CET;2906;16475.75
AFYREN;FR0014005AC9;ALAFY;"Euronext Growth Paris";EUR;8.64;8.72;8.60;8.60;"10/01/22 17:09";CET;3694;31945.72
AG3I;FR0011908045;MLAGI;"Euronext Access Paris";EUR;0.31;0.31;0.31;0.31;"27/12/21 11:30";CET;74;22.94
AGEAS;BE0974264930;AGS;"Euronext Brussels";EUR;49.93;50.36;49.17;49.18;"10/01/22 17:39";CET;538815;26748398.98
"AGENCE AUTO";FR0014005WE9;MLAA;"Euronext Access Paris";EUR;4.75;5.225;4.75;5.225;"07/01/22 16:30";CET;51;247.95
"AGENCE MARIT MINNE";BE0024915838;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-
AGFA-GEVAERT;BE0003755692;AGFB;"Euronext Brussels";EUR;3.855;3.89;3.81;3.81;"10/01/22 17:35";CET;126935;488286.43
AGILYX;NO0010872468;AGLX;"Euronext Growth Oslo";NOK;37.10;37.10;34.70;35.60;"10/01/22 16:25";CET;128156;4539568.80
"AGP MALAGA SOCIMI";ES0105478004;MLAGP;"Euronext Access Paris";EUR;2.95;2.95;2.95;2.95;"23/11/20 11:52";CET;2000;5900.00
AGRIPOWER;FR0013452281;ALAGP;"Euronext Growth Paris";EUR;7.82;7.82;7.66;7.82;"10/01/22 17:28";CET;2558;19800.82
AGROGENERATION;FR0010641449;ALAGR;"Euronext Growth Paris";EUR;0.25;0.258;0.246;0.246;"10/01/22 17:35";CET;544770;136836.04
"AGUAS DA CURIA";PTCUR0AP0000;CUR;"Euronext Access Lisbon";EUR;1.17;1.17;1.17;1.17;"06/09/17 20:30";BST;32;37.44
"AHOLD DEL";NL0011794037;AD;"Euronext Amsterdam, Brussels";EUR;30.665;30.84;30.53;30.53;"10/01/22 17:39";CET;2307461;70752213.41
"AIB GROUP PLC";IE00BF0L3536;A5G;"Euronext Dublin";EUR;2.30;2.432;2.297;2.431;"10/01/22 21:00";IST;2046249;4900937.71
"AIR FRANCE -KLM";FR0000031122;AF;"Euronext Paris, Amsterdam";EUR;4.268;4.411;4.263;4.29;"10/01/22 17:30";CET;5013108;21763530.76
"AIR LIQUIDE";FR0000120073;AI;"Euronext Paris";EUR;157.32;158.58;155.78;156.08;"10/01/22 17:35";CET;584243;91621719.76
"AIR MARINE";FR0013285103;MLAIM;"Euronext Access Paris";EUR;1.80;1.80;1.80;1.80;"10/01/22 16:30";CET;359;646.20
AIRBUS;NL0000235190;AIR;"Euronext Paris";EUR;118.00;119.22;116.58;117.92;"10/01/22 17:36";CET;1099153;129664697.56
AIRTHINGS;NO0010895568;AIRX;"Euronext Growth Oslo";NOK;10.88;10.98;10.10;10.12;"10/01/22 16:25";CET;34243;352993.42
AIRTIME;IT0005450819;ALAIR;"Euronext Growth Paris";EUR;76.00;76.00;71.10;71.18;"10/01/22 17:28";CET;982;71947.34
AIRWELL;FR0014003V77;MLAIR;"Euronext Access Paris";EUR;3.95;3.95;3.70;3.70;"10/01/22 16:30";CET;1858;6937.85
AJAX;NL0000018034;AJAX;"Euronext Amsterdam";EUR;14.70;14.70;14.20;14.55;"10/01/22 17:20";CET;4902;70342.50
AKASTOR;NO0010215684;AKAST;"Oslo B�rs";NOK;5.50;5.68;5.50;5.60;"10/01/22 16:16";CET;7037;39359.96
AKER;NO0010234552;AKER;"Oslo B�rs";NOK;842.00;853.00;829.50;829.50;"10/01/22 16:25";CET;58179;48801137.00
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo B�rs";NOK;50.50;51.00;48.90;49.20;"10/01/22 16:25";CET;56373;2818678.45
"AKER BP";NO0010345853;AKRBP;"Oslo B�rs";NOK;284.30;289.50;279.50;279.50;"10/01/22 16:27";CET;1000362;284317668.60
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo B�rs";NOK;25.24;25.60;23.55;23.58;"10/01/22 16:27";CET;1804829;44107917.72
"AKER CLEAN HYDROGE";NO0010936081;ACH;"Euronext Growth Oslo";NOK;5.75;5.75;5.50;5.598;"10/01/22 16:25";CET;531866;2958594.31
"AKER HORIZONS";NO0010921232;AKH;"Oslo B�rs";NOK;30.27;30.47;28.725;28.725;"10/01/22 16:25";CET;494772;14547265.84
"AKER OFFSHORE WIND";NO0010890312;AOW;"Euronext Growth Oslo";NOK;4.95;4.994;4.77;4.77;"10/01/22 16:25";CET;2011835;9761482.77
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo B�rs";NOK;23.24;23.83;23.08;23.09;"10/01/22 16:29";CET;993328;23275942.76
"AKKA TECHNOLOGIES";FR0004180537;AKA;"Euronext Paris, Brussels";EUR;48.50;48.60;48.50;48.60;"10/01/22 17:35";CET;12500;606800.86
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;7.05;7.05;6.72;6.85;"10/01/22 16:25";CET;16977;116381.14
"AKVA GROUP";NO0003097503;AKVA;"Oslo B�rs";NOK;90.00;90.00;86.60;89.20;"10/01/22 16:25";CET;3369;300504.60
AKWEL;FR0000053027;AKW;"Euronext Paris";EUR;24.85;24.85;22.75;22.75;"10/01/22 17:35";CET;21918;512274.00
"AKZO NOBEL";NL0013267909;AKZA;"Euronext Amsterdam";EUR;97.76;98.00;95.54;95.90;"10/01/22 17:35";CET;497807;47880655.90
"ALAN ALLMAN";FR0000062465;AAA;"Euronext Paris";EUR;14.90;14.90;13.80;14.30;"10/01/22 16:17";CET;341;5028.90
ALBIOMA;FR0000060402;ABIO;"Euronext Paris";EUR;34.00;34.04;33.48;33.70;"10/01/22 17:38";CET;70017;2361572.64
"ALBIOMA BSAAR 2018";FR0013368438;ABIBS;"Euronext Growth Paris";EUR;12.40;12.40;12.40;12.40;"10/01/22 09:38";CET;30;372.00
ALCHIMIE;FR0014000JX7;ALCHI;"Euronext Growth Paris";EUR;5.09;5.10;4.85;4.90;"10/01/22 17:35";CET;5384;26931.51
ALD;FR0013258662;ALD;"Euronext Paris";EUR;14.40;14.60;13.96;13.96;"10/01/22 17:35";CET;225084;3201404.14
"ALEPH FINANCE";GB00BJ9M4V82;MLALE;"Euronext Access Paris";EUR;2.90;2.90;2.90;2.90;"17/11/21 11:30";CET;99;287.10
ALFEN;NL0012817175;ALFEN;"Euronext Amsterdam";EUR;80.10;80.75;75.85;76.50;"10/01/22 17:35";CET;160734;12458611.05
ALIAXIS;BE0941243520;-;"Euronext Expert Market";EUR;28.00;28.00;28.00;28.00;"04/01/22 11:30";CET;3075;86100.00
"ALLFUNDS GROUP";GB00BNTJ3546;ALLFG;"Euronext Amsterdam";EUR;16.55;16.55;14.86;15.046;"10/01/22 17:35";CET;288573;4401060.24
"ALME INVEST";BE0146350740;-;"Euronext Expert Market";EUR;89.91;89.91;89.91;89.91;"11/05/21 11:30";CET;975;87662.25
"ALMUNDA PRO NV";NL0010696704;AMUND;"Euronext Amsterdam";EUR;1.24;1.32;1.23;1.23;"10/01/22 16:38";CET;13607;17374.62
"ALPES (COMPAGNIE)";FR0000053324;CDA;"Euronext Paris";EUR;14.56;14.60;14.12;14.28;"10/01/22 17:35";CET;17245;248183.28
"ALPHA MOS";FR0013421286;ALM;"Euronext Paris";EUR;3.60;3.74;3.18;3.22;"10/01/22 17:37";CET;304849;1025085.19
ALSTOM;FR0010220475;ALO;"Euronext Paris";EUR;32.76;33.08;32.41;33.07;"10/01/22 17:35";CET;1244036;40933822.76
ALTAMIR;FR0000053837;LTA;"Euronext Paris";EUR;25.30;25.32;24.60;25.195;"10/01/22 16:48";CET;7878;195923.62
ALTAREA;FR0000033219;ALTA;"Euronext Paris";EUR;167.80;169.00;165.20;168.80;"10/01/22 17:35";CET;4287;720060.60
ALTAREIT;FR0000039216;AREIT;"Euronext Paris";EUR;635.00;635.00;635.00;635.00;"10/01/22 09:00";CET;6;3810.00
ALTEN;FR0000071946;ATE;"Euronext Paris";EUR;151.00;151.00;145.60;145.60;"10/01/22 17:35";CET;35177;5157697.10
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;28.00;28.00;28.00;28.00;"07/01/22 12:54";CET;2;56.00
ALTHEORA;FR0000061244;ALORA;"Euronext Growth Paris";EUR;1.79;1.79;1.785;1.785;"10/01/22 16:06";CET;7051;12620.79
"ALTRI SGPS";PTALT0AE0002;ALTR;"Euronext Lisbon";EUR;5.67;5.675;5.55;5.59;"10/01/22 22:35";BST;470134;2632522.04
"ALTUR INVEST.";FR0010395681;ALTUR;"Euronext Paris";EUR;5.80;5.95;5.80;5.95;"10/01/22 11:42";CET;953;5577.70
"ALUMEXX N.V.";NL0012194724;ALX;"Euronext Amsterdam";EUR;0.90;0.90;0.866;0.87;"10/01/22 16:34";CET;7600;6803.65
ALVEEN;FR0013253812;MLALV;"Euronext Access Paris";EUR;0.95;0.95;0.95;0.95;"06/01/22 11:30";CET;20;19.00
"AMA CORPORATION";GB00BNKGZC51;ALAMA;"Euronext Growth Paris";EUR;2.14;2.14;2.075;2.075;"10/01/22 14:48";CET;2800;5882.50
"AMATHEON AGRI";NL0010273694;MLAAH;"Euronext Access Paris";EUR;0.095;0.095;0.095;0.095;"10/01/22 11:30";CET;51;4.85
"AMERICAN SHIPPING";NO0010272065;AMSC;"Oslo B�rs";NOK;33.00;33.20;32.70;32.80;"10/01/22 16:25";CET;43062;1416120.90
AMG;NL0000888691;AMG;"Euronext Amsterdam";EUR;30.30;30.40;29.60;29.80;"10/01/22 17:35";CET;259241;7758426.20
AMOEBA;FR0011051598;ALMIB;"Euronext Growth Paris";EUR;1.25;1.278;1.07;1.091;"10/01/22 17:35";CET;579854;684403.34
"AMPLITUDE SURGICAL";FR0012789667;AMPLI;"Euronext Paris";EUR;2.17;2.17;2.15;2.15;"10/01/22 16:41";CET;2001;4312.17
"AMSTERDAM COMMOD.";NL0000313286;ACOMO;"Euronext Amsterdam";EUR;25.45;25.45;24.90;25.05;"10/01/22 17:35";CET;24230;608782.70
AMUNDI;FR0004125920;AMUN;"Euronext Paris";EUR;72.70;73.10;71.85;72.15;"10/01/22 17:35";CET;112982;8159419.00
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;42.30;42.35;41.85;41.85;"10/01/22 15:40";CET;11030;465634.35
"ANS ROCOUR";BE0003243426;-;"Euronext Expert Market";EUR;89.30;89.30;89.30;89.30;"21/02/17 11:30";CET;31;2768.30
"ANTARES CERT";BE0003676872;ANT;"Euronext Brussels";EUR;6.153;6.153;6.153;6.153;"03/01/22 16:30";CET;252;1550.57
"ANTIN INFRA PARTN";FR0014005AL0;ANTIN;"Euronext Paris";EUR;33.02;34.98;29.24;30.10;"10/01/22 17:35";CET;49251;1496026.72
APERAM;LU0569974404;APAM;"Euronext Amsterdam, Brussels, Paris";EUR;50.06;50.62;49.06;49.12;"10/01/22 17:36";CET;165915;8237015.52
"APTORUM GROUP CL A";KYG6096M1069;APM;"Euronext Paris";EUR;2.70;2.70;2.70;2.70;"15/01/21 13:35";CET;426;1150.20
"AQUA BIO TECHNO";NO0010307135;ABT;"Euronext Expand Oslo";NOK;14.50;14.95;14.00;14.35;"10/01/22 16:27";CET;141729;2053954.70
"AQUALISBRAEMAR LOC";NO0010715394;AQUA;"Oslo B�rs";NOK;10.80;10.90;10.35;10.80;"10/01/22 14:56";CET;52994;568593.80
AQUILA;FR0010340711;ALAQU;"Euronext Growth Paris";EUR;6.15;6.15;6.15;6.15;"10/01/22 11:30";CET;1038;6383.70
"ARAMIS GROUP";FR0014003U94;ARAMI;"Euronext Paris";EUR;14.30;14.34;13.80;13.84;"10/01/22 17:39";CET;61327;858457.12
ARCADIS;NL0006237562;ARCAD;"Euronext Amsterdam";EUR;40.60;40.60;38.94;38.94;"10/01/22 17:35";CET;120935;4769163.84
"ARCELOR MITT LUX";LU0006047129;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-
"ARCELORMITT SCHIFF";LU0006067663;-;"Euronext Expert Market";EUR;1.11;1.11;1.11;1.11;"16/11/21 11:30";CET;37;41.07
"ARCELORMITTAL SA";LU1598757687;MT;"Euronext Amsterdam, Paris";EUR;30.48;30.635;29.965;30.19;"10/01/22 17:35";CET;3499246;105943485.93
ARCHER;BMG0451H1170;ARCH;"Oslo B�rs";NOK;4.045;4.14;3.975;4.01;"10/01/22 16:25";CET;224546;908794.75
ARCHOS;FR0000182479;ALJXR;"Euronext Growth Paris";EUR;0.0003;0.0003;0.0002;0.0002;"10/01/22 17:35";CET;185014404;44701.44
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;18.75;18.75;16.014;16.80;"10/01/22 16:25";CET;3285;56302.21
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;87.99;87.99;86.50;86.50;"10/01/22 16:17";CET;900;78597.00
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo B�rs";NOK;82.50;83.65;78.80;79.75;"10/01/22 16:26";CET;275302;22470435.50
ARCURE;FR0013398997;ALCUR;"Euronext Growth Paris";EUR;3.68;3.68;3.61;3.68;"10/01/22 14:40";CET;75;275.79
"ARDOIN ST AMAND A";FR0005057635;MLARD;"Euronext Access Paris";EUR;136.00;136.00;136.00;136.00;"29/12/21 16:30";CET;5;680.00
"ARDOIN ST AMAND B";FR0004070795;ARDO;"Euronext Access Paris";EUR;72.00;72.00;72.00;72.00;"03/08/20 16:30";CET;2;144.00
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo B�rs";NOK;440.00;440.00;404.00;408.00;"10/01/22 16:27";CET;42174;17622240.00
ARGAN;FR0010481960;ARG;"Euronext Paris";EUR;116.20;117.00;113.20;114.60;"10/01/22 17:35";CET;7643;878889.80
"ARGENX SE";NL0010832176;ARGX;"Euronext Brussels";EUR;278.00;278.50;262.30;266.00;"10/01/22 17:35";CET;115092;30900014.00
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;7.60;7.60;7.301;7.305;"10/01/22 16:16";CET;126109;934029.23
"ARIMELIA ITG";ES0105601001;MLARI;"Euronext Access Paris";EUR;2.97;2.97;2.97;2.97;"17/09/21 00:00";CET;-;-
ARKEMA;FR0010313833;AKE;"Euronext Paris";EUR;130.75;131.60;128.85;128.85;"10/01/22 17:35";CET;186436;24161859.45
"ARKIMEDES FONDS";BE0945331669;-;"Euronext Expert Market";EUR;3.72;3.72;3.72;3.72;"14/12/21 11:30";CET;20;74.40
ARMA;BE0051300847;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-
"AROCA DEL PINAR";ES0105486007;MLARO;"Euronext Access Paris";EUR;-;-;-;-;-;CET;-;-
"ARRIBATEC GROUP";NO0003108102;ARR;"Oslo B�rs";NOK;1.154;1.16;1.138;1.148;"10/01/22 16:25";CET;941044;1079592.41
ARTEA;FR0012185536;ARTE;"Euronext Paris";EUR;19.10;19.10;17.90;17.90;"10/01/22 17:35";CET;190;3449.20
"ARTMARKET COM";FR0000074783;PRC;"Euronext Paris";EUR;10.00;10.20;9.42;9.55;"10/01/22 17:35";CET;112462;1084153.21
"ARTOIS NOM.";FR0000076952;ARTO;"Euronext Paris";EUR;5600.00;5600.00;5600.00;5600.00;"05/01/22 12:10";CET;15;84000.00
ASCENCIO;BE0003856730;ASC;"Euronext Brussels";EUR;55.90;56.00;55.20;56.00;"10/01/22 17:35";CET;6018;335497.10
ASETEK;DK0060477263;ASTK;"Oslo B�rs";NOK;39.50;39.50;37.50;37.50;"10/01/22 16:25";CET;43780;1663151.10
"ASHLER ET MANSON";FR0012968485;MLAEM;"Euronext Access Paris";EUR;2.22;2.22;2.22;2.22;"10/01/22 16:30";CET;1;2.22
ASIT;BE0974289218;ASIT;"Euronext Brussels, Paris";EUR;0.235;0.255;0.235;0.236;"10/01/22 16:42";CET;52932;12986.92
"ASM INTERNATIONAL";NL0000334118;ASM;"Euronext Amsterdam";EUR;361.10;363.00;335.30;340.40;"10/01/22 17:38";CET;325595;112431687.80
"ASML HOLDING";NL0010273215;ASML;"Euronext Amsterdam";EUR;667.50;669.80;621.10;622.30;"10/01/22 17:38";CET;1321972;837438843.20
"ASR NEDERLAND";NL0011872643;ASRNL;"Euronext Amsterdam";EUR;42.47;42.79;42.44;42.55;"10/01/22 17:35";CET;405275;17253396.26
ASSICURAZ.GEN.ORD.;IT0000062072;GEN;"Traded not listed Brussels";EUR;18.90;18.90;18.505;18.505;"06/01/22 16:19";CET;324;6001.65
ASSYSTEM;FR0000074148;ASY;"Euronext Paris";EUR;39.60;40.05;39.25;39.50;"10/01/22 17:35";CET;3036;120907.35
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;49.00;49.00;49.00;49.00;"10/01/22 15:14";CET;120;5880.00
ATARI;FR0010478248;ATA;"Euronext Paris";EUR;0.382;0.3975;0.3765;0.3795;"10/01/22 17:38";CET;1888906;729749.82
ATEA;NO0004822503;ATEA;"Oslo B�rs";NOK;159.00;159.00;150.40;150.60;"10/01/22 16:25";CET;45142;6925949.00
ATEME;FR0011992700;ATEME;"Euronext Paris";EUR;13.30;13.40;13.30;13.34;"10/01/22 17:35";CET;539;7178.06
ATENOR;BE0003837540;ATEB;"Euronext Brussels";EUR;56.80;57.20;56.60;56.80;"10/01/22 17:35";CET;2249;127997.40
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo B�rs";NOK;43.05;43.85;41.15;41.35;"10/01/22 16:25";CET;229043;9618311.95
ATOS;FR0000051732;ATO;"Euronext Paris";EUR;34.00;34.04;31.26;32.10;"10/01/22 17:36";CET;4377290;140866841.44
"ATRIUM EUR REALEST";JE00B3DCF752;ATRS;"Euronext Amsterdam";EUR;3.585;3.60;3.585;3.60;"10/01/22 16:33";CET;13925;50041.65
AUBAY;FR0000063737;AUB;"Euronext Paris";EUR;56.20;56.50;53.40;53.80;"10/01/22 17:35";CET;12870;707242.40
AUDACIA;FR00140059B5;ALAUD;"Euronext Growth Paris";EUR;6.20;6.20;6.00;6.20;"10/01/22 17:35";CET;2486;15130.32
"AUDIENCE LABS";FR0011896463;MLAUD;"Euronext Access Paris";EUR;3.16;3.16;3.16;3.16;"07/01/22 16:30";CET;25;79.00
AUDIOVALLEY;BE0974334667;ALAVY;"Euronext Growth Paris, Brussels";EUR;3.41;3.42;3.40;3.40;"10/01/22 14:55";CET;2471;8414.81
"AUGROS COSMETICS";FR0000061780;AUGR;"Euronext Paris";EUR;4.50;4.50;4.50;4.50;"07/01/22 11:30";CET;50;225.00
"AUPLATA MINING GR";FR0013410370;ALAMG;"Euronext Growth Paris";EUR;0.0294;0.0294;0.0272;0.0281;"10/01/22 17:05";CET;1733134;48798.48
AUREA;FR0000039232;AURE;"Euronext Paris";EUR;8.40;8.40;8.14;8.18;"10/01/22 17:35";CET;1224;10053.66
"AURES TECHNOLOGIES";FR0013183589;AURS;"Euronext Paris";EUR;23.00;24.00;23.00;23.70;"10/01/22 17:35";CET;2695;62765.70
"AURORA EIENDOM";NO0011032310;AURA;"Euronext Growth Oslo";NOK;103.98;105.00;102.70;102.70;"10/01/22 16:25";CET;41695;4310686.54
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo B�rs";NOK;244.00;244.00;244.00;244.00;"10/01/22 11:08";CET;4;976.00
